folder,Filename,ID,Case,Status,Site,Grey_patch,x,y,R,G,B,h,s,v,l_lab,a_lab,b_lab
linear,Amador_P9090076,1,Cased,Preserved,Amador,G3,1542,990,16183.0,17281.0,29458.0,235.03729248046875,0.4506414532661438,0.44950026273727417,30.218505859375,11.6875,-27.84375
linear,Amador_P9090076,1,Cased,Preserved,Amador,G4,1554,1102,12642.0,12611.0,21267.0,240.2148895263672,0.4070154130458832,0.32451361417770386,21.771240234375,9.6875,-20.609375
linear,Amador_P9090076,1,Cased,Preserved,Amador,G4,1525,1138,13948.0,12530.0,22343.0,248.6701202392578,0.4391978085041046,0.34093233942985535,22.314453125,12.890625,-22.359375
linear,Amador_P9090076,1,Cased,Preserved,Amador,G4,1539,1126,14470.0,12676.0,21467.0,252.24432373046875,0.40951213240623474,0.32756543159484863,22.662353515625,11.9375,-19.484375
linear,Amador_P9090076,1,Cased,Preserved,Amador,G4,1527,1102,12978.0,12309.0,21059.0,244.58743286132812,0.415499210357666,0.32133975625038147,21.551513671875,10.53125,-20.28125
linear,Amador_P9090076,1,Cased,Preserved,Amador,G4,1537,1097,13707.0,13145.0,20679.0,244.4757080078125,0.36433085799217224,0.3155413269996643,22.66845703125,9.015625,-17.53125
linear,Amador_P9090076,1,Cased,Preserved,Amador,G4,1553,1129,13397.0,12371.0,21242.0,246.939453125,0.4176159203052521,0.32413214445114136,21.722412109375,11.1875,-20.328125
linear,Amador_P9090076,1,Cased,Preserved,Amador,G4,1529,1107,13450.0,13008.0,21744.0,243.03570556640625,0.4017658829689026,0.3317921757698059,22.637939453125,10.265625,-20.21875
linear,Amador_P9090076,1,Cased,Preserved,Amador,G4,1555,1101,13037.0,12716.0,20981.0,242.33030700683594,0.3939276933670044,0.3201495409011841,21.98486328125,9.34375,-19.265625
linear,Amador_P9090076,1,Cased,Preserved,Amador,G4,1551,1132,13595.0,12409.0,20291.0,249.0281524658203,0.38844794034957886,0.30962082743644714,21.630859375,10.4375,-18.140625
linear,Amador_P9090076,1,Cased,Preserved,Amador,G4,1543,1105,12398.0,12121.0,20331.0,242.0243682861328,0.40381669998168945,0.31023117899894714,20.849609375,9.453125,-19.40625
linear,Amador_P9090076,1,Cased,Preserved,Amador,G4,1534,1132,13944.0,12293.0,21553.0,250.69761657714844,0.4296383857727051,0.32887768745422363,22.003173828125,12.296875,-20.875
linear,Amador_P9090076,1,Cased,Preserved,Amador,G4,1518,1090,13380.0,12652.0,20918.0,245.28428649902344,0.39516186714172363,0.3191882073879242,21.97265625,10.1875,-19.28125
linear,Amador_P9090076,1,Cased,Preserved,Amador,G4,1561,1125,12502.0,12052.0,20115.0,243.3486328125,0.4008449912071228,0.30693522095680237,20.867919921875,9.453125,-19.03125
linear,Amador_P9090076,1,Cased,Preserved,Amador,G4,1565,1099,13320.0,12121.0,22184.0,247.14895629882812,0.45361506938934326,0.33850613236427307,21.66748046875,13.140625,-23.078125
linear,Amador_P9090076,1,Cased,Preserved,Amador,G4,1544,1107,13330.0,12228.0,21705.0,246.9768829345703,0.4366273581981659,0.3311970829963684,21.69189453125,12.15625,-21.703125
linear,Amador_P9090076,1,Cased,Preserved,Amador,G4,1538,1109,14637.0,12835.0,23344.0,250.28831481933594,0.45017972588539124,0.35620659589767456,23.27880859375,14.046875,-23.453125
linear,Amador_P9090076,1,Cased,Preserved,Amador,G4,1562,1127,12691.0,12074.0,20257.0,244.5240020751953,0.4039589464664459,0.30910199880599976,20.99609375,9.953125,-19.171875
linear,Amador_P9090076,1,Cased,Preserved,Amador,G4,1540,1094,13240.0,12630.0,22183.0,243.8312530517578,0.4306449294090271,0.33849087357521057,22.20458984375,11.609375,-22.234375
linear,Amador_P9090076,1,Cased,Preserved,Amador,G4,1525,1098,11489.0,11628.0,21110.0,239.13314819335938,0.4557553827762604,0.32211795449256897,20.1171875,10.765625,-22.578125
linear,Amador_P9090076,1,Cased,Preserved,Amador,G4,1566,1132,12570.0,11754.0,20348.0,245.69699096679688,0.4223509132862091,0.31049057841300964,20.501708984375,10.828125,-19.953125
linear,Amador_P9090076,1,Cased,Preserved,Amador,G4,1530,1125,13017.0,12256.0,19335.0,246.45004272460938,0.3661234378814697,0.29503318667411804,21.05712890625,8.875,-16.71875
linear,Amador_P9090076,1,Cased,Preserved,Amador,G4,1549,1123,13265.0,12513.0,20781.0,245.45716857910156,0.3978632390499115,0.3170977234840393,21.746826171875,10.203125,-19.3125
linear,Amador_P9090076,1,Cased,Preserved,Amador,G4,1529,1120,13007.0,12511.0,21420.0,243.34043884277344,0.41591954231262207,0.32684823870658875,21.78955078125,10.671875,-20.90625
linear,Amador_P9090076,1,Cased,Preserved,Amador,G4,1532,1094,13661.0,13452.0,23016.0,241.3111572265625,0.41553688049316406,0.3512016534805298,23.5595703125,10.640625,-22.0625
linear,Amador_P9090076,1,Cased,Preserved,Amador,G4,1540,1136,12920.0,12474.0,21667.0,242.91090393066406,0.4242856204509735,0.330617219209671,21.8017578125,10.828125,-21.546875
linear,Amador_P9090076,1,Cased,Preserved,Amador,G5,1523,1225,9488.0,8958.0,15368.0,244.9609832763672,0.4171002507209778,0.23450064659118652,15.0390625,8.15625,-15.609375
linear,Amador_P9090076,1,Cased,Preserved,Amador,G5,1552,1248,9984.0,8953.0,14758.0,250.65631103515625,0.39334577322006226,0.22519265115261078,14.935302734375,8.421875,-14.015625
linear,Amador_P9090076,1,Cased,Preserved,Amador,G5,1548,1249,10192.0,8937.0,15189.0,252.04412841796875,0.41161343455314636,0.23176927864551544,15.069580078125,9.0625,-14.84375
linear,Amador_P9090076,1,Cased,Preserved,Amador,G5,1559,1229,10635.0,9461.0,17600.0,248.6546173095703,0.4624429941177368,0.2685588002204895,16.448974609375,11.34375,-19.25
